date,Tmax,Tmin,
'2019-09-01',32.3,24.8,
'2019-09-02',32.6,22.2,
'2019-09-03',21.9,16.1,
'2019-09-04',25.6,15.9,
'2019-09-05',26.5,18.6,
'2019-09-06',26.3,17.3,
'2019-09-07',20.5,18.2,
'2019-09-08',23,17.6,
'2019-09-09',21.8,15,
'2019-09-10',22.7,14.7,
'2019-09-11',26.1,16.7,
'2019-09-12',25.5,19.7,
'2019-09-13',25.4,16.3,
'2019-09-14',25.6,18.4,
'2019-09-15',23.8,15.7,
'2019-09-16',26.7,17.5,
'2019-09-17',22,16.7,
'2019-09-18',17.2,11.2,
'2019-09-19',17.1,10.4,
'2019-09-20',18.8,9.8,
'2019-09-21',19.5,12.4,
'2019-09-22',22.5,13.1,
'2019-09-23',17.7,13.7,
'2019-09-24',20.4,14.2,
'2019-09-25',20.2,14.9,
'2019-09-26',21.1,14.5,
'2019-09-27',23,14.7,
'2019-09-28',17.5,16.4,
'2019-09-29',22.6,14.7,
'2019-09-30',24,15.9,
'2019-10-01',22.7,13.4,
'2019-10-02',23.1,15.9,
'2019-10-03',15.2,10.2,
'2019-10-04',16.2,8.1,
'2019-10-05',13.1,10.3,
'2019-10-06',14.6,8.9,
'2019-10-07',12.1,8.2,
'2019-10-08',13.9,7.2,
'2019-10-09',19.2,10.3,
'2019-10-10',15.4,11.1,
'2019-10-11',17.3,9.4,
'2019-10-12',20.6,11.1,
'2019-10-13',20.6,13.3,
'2019-10-14',21.4,14.6,
'2019-10-15',22.7,14.8,
'2019-10-16',17.3,14.1,
'2019-10-17',21.5,13.8,
'2019-10-18',21,14.5,
'2019-10-19',21.6,13.4,
'2019-10-20',22.8,15,
'2019-10-21',23.6,15.6,
'2019-10-22',23,15.7,
'2019-10-23',23.3,16.2,
'2019-10-24',22.1,14.8,
'2019-10-25',21.9,14.7,
'2019-10-26',19.7,13.7,
'2019-10-27',20.4,13.6,
'2019-10-28',17.2,12.3,
'2019-10-29',11.4,9.3,
'2019-10-30',11.5,7.5,
'2019-10-31',10.1,5.6,
'2019-11-01',9.7,5.3,
'2019-11-02',11.1,6.3,
'2019-11-03',16.4,9.8,
'2019-11-04',15.7,9.9,
'2019-11-05',16.3,9.2,
'2019-11-06',12.7,9.7,
'2019-11-07',13.9,9.6,
'2019-11-08',13.5,8.5,
'2019-11-09',15.1,10.5,
'2019-11-10',10.1,7.4,
'2019-11-11',10.2,5.5,
'2019-11-12',10.2,7,
'2019-11-13',16.4,10.4,
'2019-11-14',11.4,6.4,
'2019-11-15',14.5,8.4,
'2019-11-16',16.3,10.3,
'2019-11-17',13.8,10.2,
'2019-11-18',14.1,9.6,
'2019-11-19',11.6,8.1,
'2019-11-20',10.9,9.3,
'2019-11-21',11.5,9.5,
'2019-11-22',11.8,8.4,
'2019-11-23',9,4.6,
'2019-11-24',9.8,5.7,
'2019-11-25',10.6,5.7,
'2019-11-26',10.2,6.6,
'2019-11-27',9.7,5.4,
'2019-11-28',10.3,9,
'2019-11-29',11,7.4,
'2019-11-30',5.5,1.6,
