date,Tmax,Tmin,
'2020-09-01',19.7,15.7,
'2020-09-02',24,13.9,
'2020-09-03',25.1,17.1,
'2020-09-04',25.9,16.7,
'2020-09-05',28.9,19.7,
'2020-09-06',30.1,21,
'2020-09-07',26.5,20.4,
'2020-09-08',25.9,17.5,
'2020-09-09',28,18.5,
'2020-09-10',27.7,19.6,
'2020-09-11',27.5,19.6,
'2020-09-12',29.6,20.5,
'2020-09-13',30.2,22.3,
'2020-09-14',30.5,22.4,
'2020-09-15',30.7,22.8,
'2020-09-16',30.5,23,
'2020-09-17',30.5,19.9,
'2020-09-18',23.5,17.2,
'2020-09-19',23.1,16.5,
'2020-09-20',25.7,16.3,
'2020-09-21',26.8,17.8,
'2020-09-22',28.1,18.5,
'2020-09-23',26.4,19.4,
'2020-09-24',24.9,18.9,
'2020-09-25',21.6,18.5,
'2020-09-26',18.3,11.8,
'2020-09-27',16.9,9.5,
'2020-09-28',19.6,13.3,
'2020-09-29',17,13.4,
'2020-09-30',16,11.9,
'2020-10-01',15.8,13.9,
'2020-10-02',21.6,12.5,
'2020-10-03',27,16.1,
'2020-10-04',22.4,17.6,
'2020-10-05',22.8,16.2,
'2020-10-06',21.9,14.8,
'2020-10-07',15.9,14.5,
'2020-10-08',18.1,11.3,
'2020-10-09',18.8,12.1,
'2020-10-10',20.6,15.1,
'2020-10-11',14.7,12.5,
'2020-10-12',13.5,9.6,
'2020-10-13',10.1,8,
'2020-10-14',13.1,7.5,
'2020-10-15',12.6,10.3,
'2020-10-16',12.8,9.3,
'2020-10-17',10.6,8.6,
'2020-10-18',12.3,7.9,
'2020-10-19',14.1,8,
'2020-10-20',14.8,9.6,
'2020-10-21',16.6,8.9,
